Middle Age(30~44),Senior Adult(45~64),Senior Citizens(65+),Young Adult(18~29)
"{'Feature1': 'HighBP', 'Feature2': 'HighChol', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.030402825332342454, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0373097648721471, 'Difference': -0.006906939539804646}","{'Feature1': 'HighBP', 'Feature2': 'HighChol', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.06557104850287143, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0790562652090514, 'Difference': -0.01348521670617997}","{'Feature1': 'HighBP', 'Feature2': 'HighChol', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.042985212479561774, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05042434814323049, 'Difference': -0.007439135663668717}","{'Feature1': 'HighBP', 'Feature2': 'HighChol', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.00888715228582801, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.010123987472115126, 'Difference': -0.0012368351862871163}"
"{'Feature1': 'HighBP', 'Feature2': 'CholCheck', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.022501208653329885, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.02280976456512146, 'Difference': -0.0003085559117915748}","{'Feature1': 'HighBP', 'Feature2': 'CholCheck', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05056693753991548, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.052349669329541326, 'Difference': -0.0017827317896258466}","{'Feature1': 'HighBP', 'Feature2': 'CholCheck', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.033477246905178726, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03436820427492493, 'Difference': -0.0008909573697462037}","{'Feature1': 'HighBP', 'Feature2': 'CholCheck', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.005740123520633661, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005493035176769356, 'Difference': 0.00024708834386430456}"
"{'Feature1': 'HighBP', 'Feature2': 'BMI', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.04139878635108446, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04625664582782629, 'Difference': -0.004857859476741833}","{'Feature1': 'HighBP', 'Feature2': 'BMI', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.07540488490502584, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.09051166900018015, 'Difference': -0.015106784095154313}","{'Feature1': 'HighBP', 'Feature2': 'BMI', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0635995722307301, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0708721147531437, 'Difference': -0.007272542522413605}","{'Feature1': 'HighBP', 'Feature2': 'BMI', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.021068980906355977, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.018859082406461336, 'Difference': 0.0022098984998946414}"
"{'Feature1': 'HighBP', 'Feature2': 'Smoker', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.023007222827631846, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.023729461585697886, 'Difference': -0.0007222387580660405}","{'Feature1': 'HighBP', 'Feature2': 'Smoker', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05504335481624245, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.056797589062932086, 'Difference': -0.0017542342466896343}","{'Feature1': 'HighBP', 'Feature2': 'Smoker', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.036551102113070444, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.036946314750190945, 'Difference': -0.00039521263712050114}","{'Feature1': 'HighBP', 'Feature2': 'Smoker', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.006502505458683111, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.006480126916015905, 'Difference': 2.237854266720629e-05}"
"{'Feature1': 'HighBP', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.02323435599776208, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.024364328155868142, 'Difference': -0.0011299721581060629}","{'Feature1': 'HighBP', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05391513429503891, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0575608375135106, 'Difference': -0.0036457032184716853}","{'Feature1': 'HighBP', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03918185644299066, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.041560920328354456, 'Difference': -0.002379063885363797}","{'Feature1': 'HighBP', 'Feature2': 'PhysActivity', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.005929703766368005, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.005931516375979606, 'Difference': -1.8126096116011237e-06}"
"{'Feature1': 'HighBP', 'Feature2': 'Fruits', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.021897968503291565, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.022310340251578853, 'Difference': -0.00041237174828728795}","{'Feature1': 'HighBP', 'Feature2': 'Fruits', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.04993167144105104, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.051006536085664855, 'Difference': -0.0010748646446138155}","{'Feature1': 'HighBP', 'Feature2': 'Fruits', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.03344222937276231, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03395080899751135, 'Difference': -0.0005085796247490393}","{'Feature1': 'HighBP', 'Feature2': 'Fruits', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.005656052157554353, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.00530101514354181, 'Difference': 0.0003550370140125436}"
"{'Feature1': 'HighBP', 'Feature2': 'Veggies', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.022001868262229995, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.022374390291186652, 'Difference': -0.00037252202895665665}","{'Feature1': 'HighBP', 'Feature2': 'Veggies', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05073034874385185, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.051996853124602005, 'Difference': -0.0012665043807501553}","{'Feature1': 'HighBP', 'Feature2': 'Veggies', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.0339810997155332, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0346086176324476, 'Difference': -0.0006275179169143996}","{'Feature1': 'HighBP', 'Feature2': 'Veggies', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.0059784081543545475, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.00579295578195721, 'Difference': 0.0001854523723973378}"
"{'Feature1': 'HighBP', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.021380108790217955, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.021265035398300047, 'Difference': 0.00011507339191790811}","{'Feature1': 'HighBP', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.05103373851791326, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05066699644564043, 'Difference': 0.00036674207227282984}","{'Feature1': 'HighBP', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.034967888850644835, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03488718033035343, 'Difference': 8.070852029140596e-05}","{'Feature1': 'HighBP', 'Feature2': 'HvyAlcoholConsump', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.005242648043884607, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0051782950121914695, 'Difference': 6.435303169313733e-05}"
"{'Feature1': 'HighBP', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.022052621428124863, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.021764554279406878, 'Difference': 0.00028806714871798533}","{'Feature1': 'HighBP', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.04875100026739443, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.04880525952073245, 'Difference': -5.4259253338018176e-05}","{'Feature1': 'HighBP', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.03214238224273025, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.03208704382061667, 'Difference': 5.53384221135822e-05}","{'Feature1': 'HighBP', 'Feature2': 'AnyHealthcare', 'Interaction Effect': 'Exist', 'CE_Y - CE_Y_X': 0.005472634713151042, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.0054456108856355545, 'Difference': 2.702382751548771e-05}"
"{'Feature1': 'HighBP', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.024865656008726866, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.026408837892896164, 'Difference': -0.001543181884169298}","{'Feature1': 'HighBP', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.05261994502500522, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.05422409958071195, 'Difference': -0.0016041545557067272}","{'Feature1': 'HighBP', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.034091264050399195, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.034351275097012524, 'Difference': -0.00026001104661332874}","{'Feature1': 'HighBP', 'Feature2': 'NoDocbcCost', 'Interaction Effect': 'Not Exist', 'CE_Y - CE_Y_X': 0.006905095053413718, '(CE_Y - CE_Y_X1) + (CE_Y - CE_Y_X2)': 0.007013998729738291, 'Difference': -0.0001089036763245732}"
